location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,516.11945,458.23825,112.49491,427,final,2025-06-21,2025-06-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,12.819673,15.420843,87.26217,427,final,2025-07-01,2025-07-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,53.864166,48.602108,109.81689,427,final,2025-07-01,2025-07-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,401.80795,399.70673,100.519196,427,final,2025-07-01,2025-07-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,13.690866,15.31413,92.00919,427,final,2025-07-11,2025-07-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,44.76815,46.3249,96.966866,427,final,2025-07-11,2025-07-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,331.3302,343.86145,96.40796,427,final,2025-07-11,2025-07-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,7.903981,20.081108,51.449005,427,final,2025-07-21,2025-07-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,34.41452,50.816082,70.61499,427,final,2025-07-21,2025-07-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,257.57846,279.4053,92.32544,427,final,2025-07-21,2025-07-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,31.355972,17.102888,164.48517,427,final,2025-08-01,2025-08-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,52.95082,52.498127,100.787315,427,final,2025-08-01,2025-08-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,202.59016,228.50531,88.90169,427,final,2025-08-01,2025-08-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,37.18267,17.328728,188.9166,427,final,2025-08-11,2025-08-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,76.44263,54.512726,136.84909,427,final,2025-08-11,2025-08-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,188.28104,186.36354,101.002014,427,final,2025-08-11,2025-08-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,18.932085,22.460423,87.151184,427,final,2025-08-21,2025-08-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,87.470726,56.892036,149.40651,427,final,2025-08-21,2025-08-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,175.4356,163.90094,106.82924,427,final,2025-08-21,2025-08-31
