location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
KEN,False,True,,,,,,,0,all,85-89,85,89,113606,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,all,90-94,90,94,55097,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,all,95-99,95,99,28006,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,all,100+,100,None,14040,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,all,None,None,598046,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,all,None,None,610257,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,all,None,None,1208303,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,0-4,0,4,73178,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,5-9,5,9,65459,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,10-14,10,14,58280,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,15-19,15,19,53189,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,20-24,20,24,75911,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,25-29,25,29,72801,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,30-34,30,34,60864,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,35-39,35,39,42035,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,40-44,40,44,31720,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,45-49,45,49,21602,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,50-54,50,54,13602,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,55-59,55,59,10201,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,60-64,60,64,7385,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,65-69,65,69,4852,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,70-74,70,74,3319,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,75-79,75,79,1609,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,80-84,80,84,1136,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,85-89,85,89,509,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,90-94,90,94,225,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,95-99,95,99,98,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,f,100+,100,None,59,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,0-4,0,4,74725,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,5-9,5,9,64527,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,10-14,10,14,57144,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,15-19,15,19,47544,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,20-24,20,24,63822,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,25-29,25,29,69827,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,30-34,30,34,61353,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,35-39,35,39,47078,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,40-44,40,44,40098,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,45-49,45,49,30665,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,50-54,50,54,19855,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,55-59,55,59,13871,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,60-64,60,64,8649,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,65-69,65,69,5391,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,70-74,70,74,3076,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,75-79,75,79,1436,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,80-84,80,84,722,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,85-89,85,89,294,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,90-94,90,94,98,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,95-99,95,99,54,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,m,100+,100,None,14,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,0-4,0,4,147903,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,5-9,5,9,129986,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,10-14,10,14,115424,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,15-19,15,19,100733,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,20-24,20,24,139733,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,25-29,25,29,142628,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,30-34,30,34,122217,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,35-39,35,39,89113,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,40-44,40,44,71818,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,45-49,45,49,52267,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,50-54,50,54,33457,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,55-59,55,59,24072,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,60-64,60,64,16034,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,65-69,65,69,10243,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,70-74,70,74,6395,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,75-79,75,79,3045,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,80-84,80,84,1858,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,85-89,85,89,803,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,90-94,90,94,323,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,95-99,95,99,152,2019-01-01,2019-12-31
KEN,False,True,Mombasa,,KE001,Mombasa,,,1,all,100+,100,None,73,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,all,None,None,441681,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,m,all,None,None,425121,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,all,all,None,None,866802,2019-01-01,2019-12-31
KEN,False,True,Kwale,,KE002,Kwale,,,1,f,0-4,0,4,64761,2019-01-01,2019-12-31
