pcode,county,year_month,rfq_mean,rfq_min
KE030,Baringo,2014-10,130.048361,59.47948
KE030,Baringo,2014-11,92.4075475,43.382614
KE030,Baringo,2014-12,84.82801033333334,56.108612
KE030,Baringo,2015-01,51.303447,40.07805
KE030,Baringo,2015-02,70.0810905,37.89491
KE030,Baringo,2015-03,38.906944333333335,33.631344
KE030,Baringo,2015-04,130.02314416666667,77.91948
KE030,Baringo,2015-05,86.04917266666666,55.420036
KE030,Baringo,2015-06,100.16669666666667,56.11511
KE030,Baringo,2015-07,68.36425799999999,52.246094
KE030,Baringo,2015-08,40.430967,28.921307
KE030,Baringo,2015-09,74.14223,54.79602
KE030,Baringo,2015-10,97.5050425,62.29318
KE030,Baringo,2015-11,136.33486166666668,78.44727
KE030,Baringo,2015-12,134.9299035,55.640633
KE030,Baringo,2016-01,135.7684416666667,64.84341
KE030,Baringo,2016-02,66.41490433333333,41.0218
KE030,Baringo,2016-03,72.27364433333334,31.079441
KE030,Baringo,2016-04,134.877535,93.97323
KE030,Baringo,2016-05,134.99731483333332,55.013596
KE030,Baringo,2016-06,96.21034933333333,65.32533
KE030,Baringo,2016-07,106.32099066666666,86.44241
KE030,Baringo,2016-08,71.52773833333333,41.194397
KE030,Baringo,2016-09,85.00031066666666,44.584846
KE030,Baringo,2016-10,86.431288,58.153133
KE030,Baringo,2016-11,77.75022299999999,46.474434
KE030,Baringo,2016-12,46.15364983333333,31.138336
KE030,Baringo,2017-01,82.61317883333334,42.901413
KE030,Baringo,2017-02,116.36245000000001,54.83712
KE030,Baringo,2017-03,49.686126333333334,34.355957
KE030,Baringo,2017-04,53.19002333333333,27.996904
KE030,Baringo,2017-05,93.11932916666666,72.62243
KE030,Baringo,2017-06,63.85023783333333,50.71759
KE030,Baringo,2017-07,197.34154,142.72466
KE030,Baringo,2017-08,130.20745916666667,70.254135
KE030,Baringo,2017-09,159.57490566666667,118.791214
KE030,Baringo,2017-10,165.50208816666665,64.029785
KE030,Baringo,2017-11,118.79636966666668,59.47541
KE030,Baringo,2017-12,55.02137583333333,42.95903
KE030,Baringo,2018-01,55.526736166666666,39.113968
KE030,Baringo,2018-02,58.494530499999996,42.069073
KE030,Baringo,2018-03,213.87567633333333,62.288292
KE030,Baringo,2018-04,229.07500833333333,172.13477
KE030,Baringo,2018-05,213.179335,182.59518
KE030,Baringo,2018-06,224.35894833333336,148.64166
KE030,Baringo,2018-07,89.00190566666667,47.51243
KE030,Baringo,2018-08,81.0005335,41.759193
KE030,Baringo,2018-09,66.95922933333333,54.161842
KE030,Baringo,2018-10,80.31643733333333,52.764053
KE030,Baringo,2018-11,51.280625500000006,35.680286
KE030,Baringo,2018-12,140.59629116666667,48.283627
KE030,Baringo,2019-01,70.00056666666667,54.33944
KE030,Baringo,2019-02,55.89960616666667,40.249126
KE030,Baringo,2019-03,54.52422266666667,32.530384
KE030,Baringo,2019-04,69.701753,27.046204
KE030,Baringo,2019-05,68.47545050000001,27.933607
KE030,Baringo,2019-06,166.791714,80.20619
KE030,Baringo,2019-07,117.21352566666667,66.54163
KE030,Baringo,2019-08,120.65590000000002,77.88826
KE030,Baringo,2019-09,125.9896025,75.11827
KE030,Baringo,2019-10,180.49038,141.71205
KE030,Baringo,2019-11,145.34315,59.944355
KE030,Baringo,2019-12,227.5072591666667,77.52823
KE030,Baringo,2020-01,142.30940633333333,61.790108
KE030,Baringo,2020-02,105.05963366666667,56.475216
KE030,Baringo,2020-03,193.82829566666666,75.070114
KE030,Baringo,2020-04,173.68947266666666,27.030615
KE030,Baringo,2020-05,104.423785,76.25155
KE030,Baringo,2020-06,175.40119166666668,139.88501
KE030,Baringo,2020-07,173.42142333333334,139.61327
KE030,Baringo,2020-08,162.413674,114.919044
KE030,Baringo,2020-09,154.89017833333332,115.98945
KE030,Baringo,2020-10,142.01844833333334,70.97093
KE030,Baringo,2020-11,132.472833,78.445274
KE030,Baringo,2020-12,58.7083815,46.402664
KE030,Baringo,2021-01,98.31013333333334,66.93446
KE030,Baringo,2021-02,96.96545533333334,51.317726
KE030,Baringo,2021-03,51.03861833333334,44.892384
KE030,Baringo,2021-04,70.26115583333333,30.69812
KE030,Baringo,2021-05,152.304307,58.771587
KE030,Baringo,2021-06,77.138229,52.244057
KE030,Baringo,2021-07,90.35552733333333,37.488194
KE030,Baringo,2021-08,84.29241183333333,73.93912
KE030,Baringo,2021-09,169.13246999999998,119.47324
KE030,Baringo,2021-10,107.84697233333334,58.42729
KE030,Baringo,2021-11,54.31207366666666,38.244118
KE030,Baringo,2021-12,70.86532383333333,60.064636
KE030,Baringo,2022-01,112.17785450000001,60.944187
KE030,Baringo,2022-02,115.5275625,55.717995
KE030,Baringo,2022-03,57.81708116666667,38.22832
KE030,Baringo,2022-04,81.69282433333333,26.188469
KE030,Baringo,2022-05,85.81883916666668,50.257637
KE030,Baringo,2022-06,72.36845133333334,55.084167
KE030,Baringo,2022-07,65.06610083333334,49.402245
KE030,Baringo,2022-08,131.97843,70.3542
KE030,Baringo,2022-09,151.01192833333334,107.64563
KE030,Baringo,2022-10,73.23217066666668,30.915714
KE030,Baringo,2022-11,147.04478716666668,60.575573
KE030,Baringo,2022-12,93.56850166666668,82.18942
KE030,Baringo,2023-01,51.895214,37.185814
KE030,Baringo,2023-02,42.42653983333333,33.857033
KE030,Baringo,2023-03,141.59854433333334,45.626526
KE030,Baringo,2023-04,108.07413100000001,30.384974
KE030,Baringo,2023-05,79.17969716666666,58.59052
KE030,Baringo,2023-06,93.83424166666667,65.16147
KE030,Baringo,2023-07,65.8096205,46.281227
KE030,Baringo,2023-08,63.138460333333335,33.138386
KE030,Baringo,2023-09,148.544905,118.09026
KE030,Baringo,2023-10,126.50676583333335,81.63373
