pcode,county,year_month,ipc_phase,population_in_phase,population_fraction_in_phase
KE014,Embu,2022-02,4,0,0.0
KE014,Embu,2022-02,5,0,0.0
KE014,Embu,2022-02,all,272357,1.0
KE014,Embu,2022-07,1,136179,0.5
KE014,Embu,2022-07,2,95325,0.35
KE014,Embu,2022-07,3,27236,0.1
KE014,Embu,2022-07,3+,40854,0.15
KE014,Embu,2022-07,4,13618,0.05
KE014,Embu,2022-07,5,0,0.0
KE014,Embu,2022-07,all,272357,1.0
KE014,Embu,2023-02,1,112392,0.4
KE014,Embu,2023-02,2,140490,0.5
KE014,Embu,2023-02,3,28098,0.1
KE014,Embu,2023-02,3+,28098,0.1
KE014,Embu,2023-02,4,0,0.0
KE014,Embu,2023-02,5,0,0.0
KE014,Embu,2023-02,all,280979,1.0
KE014,Embu,2023-07,1,196700,0.7
KE014,Embu,2023-07,2,70250,0.25
KE014,Embu,2023-07,3,14050,0.05
KE014,Embu,2023-07,3+,14050,0.05
KE014,Embu,2023-07,4,0,0.0
KE014,Embu,2023-07,5,0,0.0
KE014,Embu,2023-07,all,281000,1.0
KE014,Embu,2024-02,1,210750,0.75
KE014,Embu,2024-02,2,56200,0.2
KE014,Embu,2024-02,3,14050,0.05
KE014,Embu,2024-02,3+,14050,0.05
KE014,Embu,2024-02,4,0,0.0
KE014,Embu,2024-02,5,0,0.0
KE014,Embu,2024-02,all,281000,1.0
KE014,Embu,2024-07,1,182650,0.65
KE014,Embu,2024-07,2,98350,0.35
KE014,Embu,2024-07,3,0,0.0
KE014,Embu,2024-07,3+,0,0.0
KE014,Embu,2024-07,4,0,0.0
KE014,Embu,2024-07,5,0,0.0
KE014,Embu,2024-07,all,281000,1.0
KE014,Embu,2025-02,1,154550,0.55
KE014,Embu,2025-02,2,112400,0.4
KE014,Embu,2025-02,3,14050,0.05
KE014,Embu,2025-02,3+,14050,0.05
KE014,Embu,2025-02,4,0,0.0
KE014,Embu,2025-02,5,0,0.0
KE014,Embu,2025-02,all,281000,1.0
KE014,Embu,2025-07,1,168600,0.6
KE014,Embu,2025-07,2,98350,0.35
KE014,Embu,2025-07,3,14050,0.05
KE014,Embu,2025-07,3+,14050,0.05
KE014,Embu,2025-07,4,0,0.0
KE014,Embu,2025-07,5,0,0.0
KE014,Embu,2025-07,all,281000,1.0
KE007,Garissa,2019-07,1,107988,0.25
KE007,Garissa,2019-07,2,172780,0.4
KE007,Garissa,2019-07,3,129585,0.3
KE007,Garissa,2019-07,3+,151183,0.35
KE007,Garissa,2019-07,4,21598,0.05
KE007,Garissa,2019-07,5,0,0.0
KE007,Garissa,2019-07,all,431950,1.0
KE007,Garissa,2020-02,1,462744,0.55
KE007,Garissa,2020-02,2,294474,0.35
KE007,Garissa,2020-02,3,84135,0.1
KE007,Garissa,2020-02,3+,84135,0.1
KE007,Garissa,2020-02,4,0,0.0
KE007,Garissa,2020-02,5,0,0.0
KE007,Garissa,2020-02,all,841353,1.0
KE007,Garissa,2020-08,1,420677,0.5
KE007,Garissa,2020-08,2,336541,0.4
KE007,Garissa,2020-08,3,84135,0.1
KE007,Garissa,2020-08,3+,84135,0.1
KE007,Garissa,2020-08,4,0,0.0
KE007,Garissa,2020-08,5,0,0.0
KE007,Garissa,2020-08,all,841353,1.0
KE007,Garissa,2021-02,1,336541,0.4
KE007,Garissa,2021-02,2,378609,0.45
KE007,Garissa,2021-02,3,84135,0.1
KE007,Garissa,2021-02,3+,126203,0.15
KE007,Garissa,2021-02,4,42068,0.05
KE007,Garissa,2021-02,5,0,0.0
KE007,Garissa,2021-02,all,841353,1.0
KE007,Garissa,2021-07,1,294474,0.35
KE007,Garissa,2021-07,2,378609,0.45
KE007,Garissa,2021-07,3,126203,0.15
KE007,Garissa,2021-07,3+,168271,0.2
KE007,Garissa,2021-07,4,42068,0.05
KE007,Garissa,2021-07,5,0,0.0
KE007,Garissa,2021-07,all,841353,1.0
KE007,Garissa,2022-02,1,378609,0.45
KE007,Garissa,2022-02,2,252406,0.3
KE007,Garissa,2022-02,3,168271,0.2
KE007,Garissa,2022-02,3+,210339,0.25
KE007,Garissa,2022-02,4,42068,0.05
KE007,Garissa,2022-02,5,0,0.0
KE007,Garissa,2022-02,all,841353,1.0
KE007,Garissa,2022-07,1,252406,0.3
KE007,Garissa,2022-07,2,210338,0.25
KE007,Garissa,2022-07,3,252406,0.3
KE007,Garissa,2022-07,3+,378609,0.45
KE007,Garissa,2022-07,4,126203,0.15
KE007,Garissa,2022-07,5,0,0.0
KE007,Garissa,2022-07,all,841353,1.0
KE007,Garissa,2023-02,1,231758,0.25
